Date,CA,BO,BOFC,SE,GE,GES,EME,RE
10/29/2021,113.01,138.45,182.47,15613.26,1989.84,590.21,622.43,495.71
9/30/2021,113.09,139.54,183.08,15044.61,1922.84,569.98,616.35,514.56
8/31/2021,113.17,141.36,185,15947.7,1967.93,589.24,641.86,515.98
7/30/2021,113.25,141.7,185.52,15578.26,1899,575.78,625.49,520.79
6/30/2021,113.33,140.16,183.43,15347.05,1903.62,580.03,670.62,515.96
5/31/2021,113.41,139.65,182.66,14668.99,1825.21,579.44,669.46,488.01
4/30/2021,113.49,140,182.4,14179.11,1826.51,575.46,654.29,490.12
3/31/2021,113.57,140.22,182.09,14015.01,1800.71,554.52,638.4,485.47
2/26/2021,113.64,139.53,183.02,13134.38,1675.92,544.06,648.19,473.97
1/29/2021,113.71,141.48,186.12,13192.93,1603.4,518.58,643.27,466.71
12/31/2020,113.79,141.93,187.31,13327.88,1608.68,508.26,624.13,483.41
11/30/2020,113.87,141.44,187.02,13003.41,1580.83,473.87,581.39,455.81
10/30/2020,113.94,141.37,186.13,11994.43,1417.63,411.06,532.17,438.39
9/30/2020,114.02,141.19,186.28,12724.65,1464.77,411.33,521.43,446.28
8/31/2020,114.09,140.07,185.76,12658.85,1487.85,421.12,529.93,431.15
7/31/2020,114.17,141.19,187.26,12407.39,1407.16,398.85,518.47,436.72
6/30/2020,114.23,139.98,185.49,12436.03,1398.47,384.08,475.94,429.1
5/29/2020,114.29,139.73,184.74,12246.05,1381.53,374.95,443.35,428.01
4/30/2020,114.35,139.55,184.38,11905.85,1323.12,350.66,439.97,432.96
3/31/2020,114.43,137.03,181.76,11319.54,1193.37,309.43,403.06,421.22
2/28/2020,114.51,144.43,185.05,11897.75,1380.46,391.74,476.44,449.31
1/31/2020,114.59,143.37,183.16,12870.99,1502.74,431.78,502.96,452.13
12/31/2019,114.67,140.66,180.31,12837.5,1518.74,444.33,527.56,436.25
11/29/2019,114.75,142.11,181.2,12676.11,1522.43,430.05,490.93,431.41
10/31/2019,114.84,141.11,181.81,12337.05,1461.79,416.96,491.61,426.33
9/30/2019,114.93,143.15,182.61,12233.13,1440.22,406.05,471.72,412.6
8/30/2019,115.02,145.66,183.99,12060.92,1398.65,398.71,462.88,411.99
7/31/2019,115.1,142.77,180.41,12064.45,1429.74,413.3,486.6,417.38
6/28/2019,115.18,140.89,179.5,11977.38,1400.61,411.23,492.63,408.4
5/31/2019,115.25,140.36,177.61,11544.54,1355.78,389.28,463.69,390.94
4/30/2019,115.33,138.61,175.64,11735.16,1460.22,417.47,499.97,396.4
3/29/2019,115.41,139,176.04,11241.19,1377.41,405.48,489.66,392.12
2/28/2019,115.49,137.32,173.45,10964.46,1360.34,409.07,485.58,382.92
1/31/2019,115.57,137.27,173.7,10514.35,1315.67,394.62,484.49,378.65
12/31/2018,115.66,136.5,172.37,9830.06,1212.37,357.98,445.49,361.53
11/30/2018,115.74,135.31,170.57,10540.95,1331.13,395.09,457.61,361.04
10/31/2018,115.82,134.87,170.2,10635.53,1324.45,392.99,439.5,366.82
9/28/2018,115.91,134.59,171.03,10807.82,1389.56,436.5,481.42,365.14
8/31/2018,115.99,135.68,172.14,10740.34,1367.94,443.63,483.99,369.81
7/31/2018,116.07,134.76,172.07,10898.11,1382.97,434.6,497.44,378.63
6/29/2018,116.16,135.63,172.47,10327.29,1346.36,429.67,486.75,371.89
5/31/2018,116.24,135.8,172.63,10164.78,1334.02,431.74,507.85,371.53
4/30/2018,116.32,134.79,172.44,10524.92,1333.38,421.34,526.51,377.07
3/30/2018,116.41,135.48,173.55,10189.89,1274.65,418.16,528.85,374.75
2/28/2018,116.5,134.78,172.61,10258.63,1286.03,418.98,538.86,373.98
1/31/2018,116.58,134.93,173.38,10737.45,1318.75,436.78,564.92,378.12
12/29/2017,116.67,136.41,174.95,10751.51,1312.73,422.03,521.46,381.84
11/30/2017,116.77,136.18,175.07,10674.94,1305.12,416.27,503.39,361.96
10/31/2017,116.85,136.3,175.16,10604.4,1296.75,407.71,502.38,369.93
9/29/2017,116.94,135.76,174.76,10447.33,1234.03,402.11,485.36,373.09
8/31/2017,117.02,136.82,175.93,10177.22,1198.6,387.56,487.3,379.75
7/31/2017,117.11,135.39,174.71,10310.53,1201.33,388.22,476.67,389.25
6/30/2017,117.19,135.78,174.49,10128.34,1163.93,379.84,449.85,383.9
5/31/2017,117.27,136.87,175.34,10248.87,1171.23,374.63,445.37,381.33
4/28/2017,117.36,136.54,174.7,9976.11,1181.35,373.01,432.58,380.46
3/31/2017,117.45,136.45,173.82,9637.82,1171.29,366.08,423.31,374.57
2/28/2017,117.54,137.5,174.24,9367.08,1160.09,364.31,412.89,370.63
1/31/2017,117.62,135.96,172.98,9063.32,1111.6,356.97,400.63,364.48
12/30/2016,117.71,136.23,173.98,8965.7,1118.7,349.07,379.84,358.2
11/30/2016,117.8,136.35,173.95,8623.48,1095.65,341.41,379,351.83
10/31/2016,117.89,138.11,177.24,8578.7,1047.22,328.01,397.29,354.96
9/30/2016,117.98,139.49,179.35,8883.25,1045.55,340.75,396.35,360
8/31/2016,118.08,139.18,179.71,8915.79,1054.23,336.43,391.31,358.88
7/29/2016,118.17,139.54,180.13,8828.2,1035.83,336.29,381.83,357.92
6/30/2016,118.27,139.7,179.43,8660.22,1001.22,318.92,363.53,356.86
5/31/2016,118.35,137.64,176.41,8887.41,1033.54,325.63,349.56,355.67
4/29/2016,118.44,137.16,175.87,8566.82,990.64,322.43,363.11,358.61
3/31/2016,118.52,137.49,175.8,8316.61,974.73,315.5,361.14,347.94
2/29/2016,118.61,138.44,174.7,8249.38,948.53,291.79,318.94,344.17
1/29/2016,118.7,136.77,173.26,8610.7,982.67,290.08,319.46,337.63
12/31/2015,118.8,134.46,170.94,9093.97,1020.45,314.62,341.62,335.25
11/30/2015,118.89,136.69,171.86,9232.94,1067.75,323.23,349.41,328.6
10/30/2015,118.97,135.8,171.94,9133.48,1027.99,319.97,363.6,331.06
9/30/2015,119.06,134.58,171.55,8679.82,942.98,302.81,339.39,326.11
8/31/2015,119.16,134.67,170.7,8984.61,968.74,316.92,349.91,327.55
7/31/2015,119.26,134.35,171.34,9559.21,1030.92,335.06,384.71,341.73
6/30/2015,119.36,133.49,169.82,8918.62,985.72,336.74,413.36,331.15
5/29/2015,119.47,134.81,172.11,9377.54,1017.99,340.34,424.38,327.53
4/30/2015,119.58,134.46,173.02,9208.19,1007.92,336.13,442.09,351.73
3/31/2015,119.7,134.74,174.17,9137.24,1021.59,333.46,410.51,348.07
2/27/2015,119.8,134.22,173.4,8921.78,1013.33,333.53,416.44,349.2
1/30/2015,119.86,134.82,174.73,8262.63,928.61,314.42,403.93,336.76
12/31/2014,119.88,132.12,171.84,8857.03,1022.34,320.35,401.52,321.81
11/28/2014,119.89,131.01,171.01,8992.9,1006.39,319,420.92,306.84
10/31/2014,119.9,129.86,169.45,8691.83,986.02,317.92,425.42,306.7
9/30/2014,119.91,129.4,168.26,8695.61,972.1,312.83,420.46,302.42
8/29/2014,119.92,129.8,168.84,8566.25,957.78,332.02,454.12,297.65
7/31/2014,119.93,128.58,166.83,8329.69,930.43,322.48,444.11,298.37
6/30/2014,119.95,128.08,166.51,8455.66,921.28,336.23,435.69,293.36
5/30/2014,119.96,127.72,166,8557.99,911.56,324.01,424.41,291.83
4/30/2014,119.98,126.92,164.43,8333.7,880.17,321.05,410.1,292.09
3/31/2014,119.99,126.1,163.34,8202.18,874.3,326.94,408.73,290.2
2/28/2014,120.01,125.72,163.22,8160.44,870.45,329.12,396.56,285.16
1/31/2014,120.02,125.73,162.47,7830.51,852.93,312.94,383.85,285.05
12/31/2013,120.03,123.69,160.18,7838,870.4,318.99,410.5,279.87
11/29/2013,120.04,124.87,161.08,7867.29,865.72,312.01,416.52,277.1
10/31/2013,120.06,124.54,161.34,7829.04,852.01,306.75,422.7,272.11
9/30/2013,120.08,124.02,159.94,7611.23,818.31,297.76,403.12,277.16
8/30/2013,120.09,123.46,158.72,7353.92,804.14,279.04,378.51,281.28
7/31/2013,120.1,123.66,159.37,7398.59,819.03,284.85,385.12,278.23
6/28/2013,120.12,123.14,158.79,7247.62,791.88,267.79,381.14,273.17
5/31/2013,120.13,125.09,161.04,7495.05,823.61,274.37,407.05,285.54
4/30/2013,120.14,125.93,163.5,7424.88,796.19,271.9,417.77,285.91
3/29/2013,120.15,125.01,161.82,7243.46,787.19,269.02,414.64,284.25
2/28/2013,120.17,124.95,161.03,7024.53,757.77,260.7,421.91,279.11
1/31/2013,120.19,124.11,160.09,6789.4,738.31,258.8,427.28,288.11
12/31/2012,120.2,125.32,161.07,6290.52,707.19,244.66,421.47,287.83
11/30/2012,120.22,125.45,160.98,6275.35,702.35,237.5,401.82,283.78
10/31/2012,120.24,125.19,160.25,6088.61,697.76,235.48,396.78,276.37
9/28/2012,120.25,124.83,159.89,6010.92,709.86,237.01,399.21,284.47
8/31/2012,120.27,124.78,159.33,5903.73,700.38,229.49,376.49,287.54
7/31/2012,120.27,124.32,159.08,5915.33,699.38,222.48,377.75,293.49
6/29/2012,120.28,123.03,157.01,5633.27,670.22,222.99,370.52,284.17
5/31/2012,120.28,123.23,157.34,5456.06,655.02,215.58,356.75,284.61
4/30/2012,120.28,122.05,155.67,5697.4,669.11,237.27,401.81,282.14
3/30/2012,120.28,121.72,154.75,5715.79,673.93,239.34,406.67,280.37
2/29/2012,120.27,121.81,155.03,5584.32,663.35,237.66,420.71,277.79
1/31/2012,120.26,121.16,154.54,5412.5,645.68,227.52,396.94,274.35
12/30/2011,120.26,120.26,153.12,5343.52,624.63,211.66,356.5,270.84
11/30/2011,120.24,119.03,150.91,5131.31,608.71,213.74,360.85,266.71
10/31/2011,120.22,119.63,151.85,5211.91,596.23,219.26,386.62,271.6
9/30/2011,120.19,119.7,152.07,5006.46,563.22,196.2,341.4,271.1
8/31/2011,120.17,118.79,151.21,5049.37,546.68,221.53,399.67,271.62
7/29/2011,120.15,117.99,149.44,5315.45,574.91,241.79,438.89,268.31
6/30/2011,120.13,116.33,147.89,5684.5,625.88,247.73,440.84,263.93
5/31/2011,120.11,115.79,148.2,6023.04,643.44,253.64,447.73,264.06
4/29/2011,120.09,114.14,146.82,6013.04,670.13,259.5,459.79,260.88
3/31/2011,120.07,114.28,145.58,5791.55,678.41,250.34,445.96,260.96
2/28/2011,120.05,114.58,145.73,5952.3,695.93,247.96,421.19,264.94
1/31/2011,120.03,114.56,145.5,5814.95,679.78,238.48,425.16,260.71
12/31/2010,120.01,114.72,146.01,5790.62,658.79,236.45,437.02,253.52
11/30/2010,119.99,115.45,146.72,5652.48,656.58,216.42,407.91,247.21
10/29/2010,119.96,115.84,148.37,5754.64,661.82,215.5,418.97,247
9/30/2010,119.93,115.82,148.55,5594.62,633.46,207.43,407.15,254.28
8/31/2010,119.91,116.56,148.9,5465.25,600.57,186.39,366.43,248.52
7/30/2010,119.89,114.83,146.58,5489.77,645.23,195.6,373.68,246.35
6/30/2010,119.88,114.52,145.49,5407.82,614.45,181.63,344.96,241.78
5/31/2010,119.87,114.27,144.36,5562.49,683.6,190.79,347.51,245.47
4/30/2010,119.86,112.92,143.25,5847.37,705.06,211.4,381.02,242.73
3/31/2010,119.85,112.68,142.48,6007.84,687,203.81,376.46,243.65
2/26/2010,119.83,112.52,142.24,5763.27,659.24,189.65,348.34,235.99
1/29/2010,119.82,111.66,141.59,5570.19,638.86,185.5,347.12,244.84
12/31/2009,119.8,110.68,140.16,5626.4,653.74,190.16,367.62,239.83
11/30/2009,119.78,110.71,141.53,5388.37,623.85,182.06,353.66,231.08
10/30/2009,119.76,110.13,140.17,5402.58,610.74,178,339.09,231.64
9/30/2009,119.73,109.96,139.91,5461.31,630.49,185.39,338.67,229.61
8/31/2009,119.7,109.36,138.78,5346.17,617.46,175.41,310.49,224.44
7/31/2009,119.66,108.33,137.43,5109.4,604.4,165.5,311.6,221.72
6/30/2009,119.62,105.93,135.69,4662.64,563.55,152.27,280.11,220.3
5/29/2009,119.57,104.92,134.49,4615.16,555.02,150.81,283.93,220.33
4/30/2009,119.51,104.64,134.32,4487.52,543.58,139.03,242.5,214.69
3/31/2009,119.46,103.66,133.85,4137.35,487.27,119.54,207.9,211.18
2/27/2009,119.41,103.63,132.78,3929.92,464.32,110.83,181.78,206.08
1/30/2009,119.35,104.62,132.84,4375.72,515.22,123.87,192.64,206.29
12/31/2008,119.21,104.02,134.17,4567.57,517.03,134.22,205.94,200.51
11/28/2008,119.01,103.51,131.46,4780.29,572.87,126.81,191.04,197
10/31/2008,118.76,99.43,127.92,5044.85,588.36,138.79,206.6,196.28
9/30/2008,118.49,101,129.24,5563.93,699.05,179.57,284.44,208.75
8/29/2008,118.23,101.51,130.5,6061.78,777.77,207.52,344.78,206.47
7/31/2008,117.95,100.55,129.21,5964.48,752.28,207.89,374.71,208.09
6/30/2008,117.67,98.9,128.3,5855.52,750.01,211.88,389.4,209.72
5/30/2008,117.4,99.48,128.72,6333.56,836.74,230.89,432.54,210.33
4/30/2008,117.11,99.61,129.98,6294.68,821.13,223.37,424.67,207.43
3/31/2008,116.85,99.87,130.78,5961.47,739.48,215.16,392.79,205.39
2/29/2008,116.59,100.42,130.89,6188.55,788.64,217.88,414.74,205.29
1/31/2008,116.34,100.52,130.59,6234.18,824.99,216.31,386.23,199.56
12/31/2007,116.08,99.51,128.79,6925.44,933.18,235.08,441.3,199.45
11/30/2007,115.81,100.23,128.82,7154.69,941.93,239.73,439.75,197.93
10/31/2007,115.55,99.47,127.68,7372.14,1009.63,259.54,473.31,202.99
9/28/2007,115.28,98.9,126.92,7262.53,986.96,247.6,425.82,207.85
8/31/2007,115.02,98.71,126.71,7231.45,974.2,243,383.47,208.23
7/31/2007,114.77,97.84,125.57,7271.66,970.84,250.38,391.8,209.6
6/29/2007,114.53,97.33,124.62,7514.07,1011.33,259.17,372.16,210.78
5/31/2007,114.31,98.35,125.4,7682.32,1018.47,261.5,355.5,214.63
4/30/2007,114.09,99.72,126.63,7620.11,974.25,255.35,339.04,215.72
3/30/2007,113.88,99.8,126.57,7183.53,944.82,247.7,323.68,215.32
2/28/2007,113.68,100.14,126.96,6974.44,928.37,242.28,311.33,210.25
1/31/2007,113.5,99.53,125.72,7241.78,953.09,240.54,313.19,211.81
